date,revenue,discount_pct,promo_flag,marketing_spend,stockout_flag,category
2023-05-11,962.91,0,0,78.07,0,A
2023-05-12,850.35,0,0,23.46,0,A
2023-05-13,889.17,0,0,75.37,0,C
2023-05-14,868.26,0,0,54.07,0,B
2023-05-15,947.12,10,1,697.85,0,A
2023-05-16,1040.64,15,1,527.48,0,C
2023-05-17,1026.99,0,0,52.0,0,C
2023-05-18,1004.01,0,0,60.41,0,C
2023-05-19,979.16,0,0,47.37,0,A
2023-05-20,970.51,0,0,29.3,0,B
2023-05-21,885.08,0,0,34.65,0,C
2023-05-22,892.1,0,0,71.26,0,C
2023-05-23,905.27,0,0,22.07,0,A
2023-05-24,1017.49,0,0,62.53,0,C
2023-05-25,930.59,0,0,79.96,0,B
2023-05-26,872.81,0,0,20.45,0,B
2023-05-27,820.81,0,0,29.66,0,B
2023-05-28,855.32,0,0,60.45,0,C
2023-05-29,962.94,0,0,23.6,0,A
2023-05-30,989.35,0,0,55.39,0,B
2023-05-31,991.07,0,0,61.04,0,C
2023-06-01,911.01,0,0,55.29,0,B
2023-06-02,813.93,0,0,41.91,0,A
2023-06-03,817.74,0,0,61.84,0,A
2023-06-04,848.72,0,0,55.66,0,B
2023-06-05,981.49,0,0,32.46,0,C
2023-06-06,978.11,0,0,53.79,0,B
2023-06-07,1027.1,0,0,72.91,0,C
2023-06-08,922.37,0,0,60.01,0,B
2023-06-09,823.39,0,0,48.31,0,B
2023-06-10,786.9,0,0,39.3,0,A
2023-06-11,809.67,0,0,25.15,0,B
2023-06-12,985.26,0,0,34.68,0,A
2023-06-13,927.52,0,0,20.67,0,C
2023-06-14,1010.69,0,0,79.2,0,A
2023-06-15,956.66,10,1,575.98,0,C
2023-06-16,932.18,5,1,395.74,0,A
2023-06-17,829.23,0,0,30.12,0,B
2023-06-18,821.71,0,0,37.02,0,A
2023-06-19,887.64,0,0,45.1,0,A
2023-06-20,923.69,0,0,39.46,0,C
2023-06-21,982.92,0,0,67.9,0,A
2023-06-22,902.4,0,0,77.46,0,B
2023-06-23,800.22,0,0,72.52,0,C
2023-06-24,750.99,0,0,29.21,0,B
2023-06-25,824.63,0,0,66.6,0,A
2023-06-26,939.85,0,0,28.88,0,B
2023-06-27,946.23,0,0,74.8,0,B
2023-06-28,947.64,0,0,51.07,0,A
2023-06-29,918.28,0,0,40.18,0,A
2023-06-30,887.42,0,0,29.42,0,B
2023-07-01,798.52,0,0,20.71,0,B
2023-07-02,787.75,0,0,34.88,0,A
2023-07-03,911.27,0,0,74.84,0,B
2023-07-04,944.65,0,0,67.84,0,B
2023-07-05,1003.18,0,0,78.19,0,A
2023-07-06,901.48,0,0,26.05,0,B
2023-07-07,775.51,0,0,55.53,0,C
2023-07-08,723.77,0,0,35.43,0,B
2023-07-09,859.14,0,0,52.58,0,B
2023-07-10,922.22,0,0,39.23,0,C
2023-07-11,906.84,0,0,37.01,0,B
2023-07-12,913.32,0,0,54.43,0,A
2023-07-13,940.96,0,0,31.0,0,B
2023-07-14,767.98,0,0,48.15,0,B
2023-07-15,777.65,5,1,679.07,0,B
2023-07-16,854.67,10,1,361.48,0,A
2023-07-17,827.58,0,0,75.84,0,A
2023-07-18,902.79,0,0,50.34,0,B
2023-07-19,911.21,0,0,69.17,0,C
2023-07-20,885.84,0,0,59.23,0,C
2023-07-21,857.77,0,0,62.6,0,C
2023-07-22,760.22,0,0,62.97,0,A
2023-07-23,796.68,0,0,72.51,0,B
2023-07-24,749.1,0,0,56.82,0,B
2023-07-25,889.13,0,0,36.69,0,B
2023-07-26,870.7,0,0,25.97,0,B
2023-07-27,812.37,0,0,56.38,0,B
2023-07-28,753.43,0,0,23.98,0,A
2023-07-29,730.92,0,0,34.48,0,C
2023-07-30,794.33,0,0,23.64,0,C
2023-07-31,767.17,0,0,52.93,0,A
2023-08-01,881.36,0,0,29.62,0,B
2023-08-02,876.12,0,0,56.62,0,B
2023-08-03,838.21,0,0,67.45,0,C
2023-08-04,820.69,0,0,69.31,0,C
2023-08-05,755.89,0,0,38.57,0,B
2023-08-06,802.65,0,0,52.94,0,C
2023-08-07,804.21,0,0,53.78,0,C
2023-08-08,843.49,0,0,48.37,0,C
2023-08-09,877.06,0,0,59.31,0,A
2023-08-10,849.8,0,0,32.61,0,C
2023-08-11,778.78,0,0,78.75,0,B
2023-08-12,681.17,0,0,25.88,0,A
2023-08-13,744.58,0,0,69.75,0,C
2023-08-14,810.73,0,0,55.65,0,C
2023-08-15,1022.61,10,1,465.71,0,B
2023-08-16,999.69,10,1,243.08,0,B
2023-08-17,797.19,0,0,25.07,0,B
2023-08-18,751.37,0,0,66.47,0,A
2023-08-19,659.41,0,0,55.4,0,C
2023-08-20,707.28,0,0,26.65,0,A
2023-08-21,804.96,0,0,24.77,0,B
2023-08-22,904.13,0,0,65.05,0,A
2023-08-23,839.83,0,0,37.58,0,C
2023-08-24,800.39,0,0,73.36,0,C
2023-08-25,669.94,0,0,65.72,0,B
2023-08-26,704.96,0,0,61.89,0,B
2023-08-27,682.3,0,0,36.72,0,C
2023-08-28,766.63,0,0,62.54,0,C
2023-08-29,815.19,0,0,76.89,0,C
2023-08-30,858.6,0,0,25.49,0,A
2023-08-31,748.74,0,0,39.57,0,B
2023-09-01,689.96,0,0,34.08,0,C
2023-09-02,790.32,0,0,43.6,0,A
2023-09-03,669.5,0,0,64.54,0,C
2023-09-04,738.24,0,0,48.45,0,A
2023-09-05,917.84,0,0,54.24,0,C
2023-09-06,974.69,0,0,38.85,0,B
2023-09-07,767.3,0,0,28.48,0,C
2023-09-08,729.89,0,0,36.02,0,C
2023-09-09,716.32,0,0,71.58,0,A
2023-09-10,786.05,0,0,56.15,0,B
2023-09-11,738.91,0,0,42.68,0,C
2023-09-12,831.99,0,0,67.39,0,A
2023-09-13,885.84,0,0,23.87,0,C
2023-09-14,829.13,0,0,35.23,0,A
2023-09-15,767.86,5,1,562.04,0,B
2023-09-16,722.63,5,1,347.34,0,B
2023-09-17,660.17,0,0,62.37,0,C
2023-09-18,767.76,0,0,57.07,0,C
2023-09-19,827.22,0,0,20.3,0,B
2023-09-20,863.06,0,0,31.06,0,A
2023-09-21,789.57,0,0,58.13,0,B
2023-09-22,760.44,0,0,42.78,0,B
2023-09-23,740.45,0,0,75.46,0,C
2023-09-24,721.18,0,0,65.88,0,C
2023-09-25,790.72,0,0,46.84,0,B
2023-09-26,842.35,0,0,64.97,0,C
2023-09-27,856.51,0,0,78.52,0,A
2023-09-28,783.01,0,0,47.66,0,A
2023-09-29,755.88,0,0,58.55,0,A
2023-09-30,697.14,0,0,75.12,0,C
2023-10-01,798.49,0,0,34.92,0,A
2023-10-02,842.49,0,0,73.19,0,B
2023-10-03,855.54,0,0,25.85,0,C
2023-10-04,827.09,0,0,58.91,0,C
2023-10-05,770.68,0,0,66.97,0,C
2023-10-06,793.37,0,0,56.88,0,A
2023-10-07,713.11,0,0,49.73,0,B
2023-10-08,738.16,0,0,57.04,0,B
2023-10-09,710.91,0,0,29.1,0,C
2023-10-10,881.14,0,0,32.93,0,B
2023-10-11,219.62,0,0,36.19,1,B
2023-10-12,774.28,0,0,55.87,0,A
2023-10-13,730.67,0,0,46.51,0,A
2023-10-14,716.96,0,0,34.67,0,B
2023-10-15,787.41,10,1,709.39,0,A
2023-10-16,812.23,5,1,483.48,0,B
2023-10-17,845.9,0,0,46.76,0,C
2023-10-18,856.2,0,0,44.58,0,B
2023-10-19,829.34,0,0,30.92,0,B
2023-10-20,815.29,0,0,63.9,0,A
2023-10-21,610.63,0,0,46.91,0,B
2023-10-22,179.75,0,0,20.98,1,B
2023-10-23,801.99,0,0,77.84,0,A
2023-10-24,869.97,0,0,68.95,0,A
2023-10-25,859.56,0,0,63.41,0,C
2023-10-26,762.48,0,0,72.15,0,C
2023-10-27,777.76,0,0,74.41,0,B
2023-10-28,789.97,0,0,40.25,0,C
2023-10-29,677.05,0,0,56.66,0,A
2023-10-30,836.79,0,0,56.53,0,A
2023-10-31,851.94,0,0,36.04,0,C
2023-11-01,941.3,10,1,571.2,0,A
2023-11-02,897.56,20,1,756.0,0,B
2023-11-03,835.09,20,1,354.74,0,A
2023-11-04,873.56,20,1,615.76,0,A
2023-11-05,854.31,15,1,792.39,0,B
2023-11-06,928.28,10,1,290.36,0,B
2023-11-07,1006.8,20,1,253.04,0,C
2023-11-08,974.53,10,1,604.52,0,C
2023-11-09,975.42,10,1,403.84,0,B
2023-11-10,842.56,10,1,242.75,0,B
2023-11-11,858.46,20,1,485.18,0,A
2023-11-12,821.84,15,1,652.26,0,A
2023-11-13,874.82,10,1,371.07,0,A
2023-11-14,911.38,10,1,401.03,0,C
2023-11-15,1014.77,10,1,707.42,0,A
2023-11-16,887.93,15,1,512.04,0,B
2023-11-17,892.58,10,1,705.64,0,C
2023-11-18,811.98,15,1,467.83,0,C
2023-11-19,886.95,10,1,771.79,0,B
2023-11-20,927.4,10,1,590.48,0,A
2023-11-21,1061.71,20,1,269.54,0,B
2023-11-22,1018.7,10,1,731.06,0,B
2023-11-23,851.82,5,1,493.56,0,A
2023-11-24,850.07,10,1,284.98,0,C
2023-11-25,775.86,15,1,291.61,0,C
2023-11-26,807.66,5,1,612.52,0,A
2023-11-27,955.28,10,1,228.42,0,A
2023-11-28,974.56,5,1,371.96,0,A
2023-11-29,969.55,15,1,283.87,0,C
2023-11-30,921.58,15,1,464.65,0,A
2023-12-01,823.96,0,0,38.11,0,C
2023-12-02,732.69,0,0,35.31,0,C
2023-12-03,773.48,0,0,62.67,0,B
2023-12-04,877.35,0,0,59.39,0,B
2023-12-05,975.2,0,0,47.08,0,C
2023-12-06,971.53,0,0,57.95,0,C
2023-12-07,813.04,0,0,29.57,0,A
2023-12-08,851.21,0,0,60.4,0,A
2023-12-09,799.67,0,0,36.24,0,B
2023-12-10,831.06,0,0,36.37,0,A
2023-12-11,943.64,0,0,29.73,0,A
2023-12-12,861.8,0,0,39.94,0,C
2023-12-13,938.43,0,0,39.88,0,B
2023-12-14,945.1,0,0,47.25,0,B
2023-12-15,830.42,5,1,518.26,0,A
2023-12-16,237.52,15,1,556.11,1,A
2023-12-17,846.19,0,0,52.5,0,A
2023-12-18,928.98,0,0,27.73,0,B
2023-12-19,938.86,0,0,61.33,0,A
2023-12-20,1012.83,0,0,76.64,0,B
2023-12-21,980.55,0,0,45.61,0,A
2023-12-22,881.51,0,0,74.07,0,B
2023-12-23,838.26,0,0,25.9,0,B
2023-12-24,857.37,0,0,22.58,0,A
2023-12-25,879.0,0,0,63.28,0,B
2023-12-26,972.7,0,0,65.66,0,A
2023-12-27,990.6,0,0,70.58,0,A
2023-12-28,968.8,0,0,23.41,0,C
2023-12-29,928.61,0,0,66.61,0,C
2023-12-30,804.2,0,0,42.59,0,B
2023-12-31,859.18,0,0,38.2,0,C
2024-01-01,988.01,0,0,30.38,0,B
2024-01-02,966.44,0,0,79.76,0,A
2024-01-03,978.36,0,0,23.82,0,C
2024-01-04,980.76,0,0,69.62,0,B
2024-01-05,938.87,0,0,58.37,0,B
2024-01-06,864.96,0,0,64.1,0,B
2024-01-07,935.45,0,0,62.7,0,A
2024-01-08,981.95,0,0,71.51,0,C
2024-01-09,1044.27,0,0,31.03,0,B
2024-01-10,1050.06,0,0,20.05,0,B
2024-01-11,1081.9,0,0,55.91,0,A
2024-01-12,912.81,0,0,41.23,0,C
2024-01-13,799.28,0,0,27.43,0,A
2024-01-14,961.59,0,0,31.17,0,A
2024-01-15,991.71,10,1,231.03,0,C
2024-01-16,1109.55,10,1,767.25,0,A
2024-01-17,1097.01,0,0,23.41,0,B
2024-01-18,942.17,0,0,74.96,0,C
2024-01-19,887.28,0,0,38.73,0,C
2024-01-20,834.34,0,0,78.93,0,B
2024-01-21,884.32,0,0,77.86,0,C
2024-01-22,996.04,0,0,28.55,0,C
2024-01-23,1065.97,0,0,62.9,0,C
2024-01-24,1073.42,0,0,56.05,0,A
2024-01-25,965.1,0,0,61.44,0,C
2024-01-26,860.24,0,0,25.77,0,A
2024-01-27,914.03,0,0,31.31,0,C
2024-01-28,910.3,0,0,24.6,0,A
2024-01-29,1013.87,0,0,56.25,0,A
2024-01-30,1089.44,0,0,79.2,0,A
2024-01-31,1083.56,0,0,60.32,0,B
2024-02-01,1067.41,0,0,62.65,0,A
2024-02-02,979.69,0,0,79.08,0,A
2024-02-03,949.63,0,0,60.68,0,B
2024-02-04,915.86,0,0,22.41,0,C
2024-02-05,1003.95,0,0,72.02,0,B
2024-02-06,1082.1,0,0,41.88,0,B
2024-02-07,1123.44,0,0,20.26,0,B
2024-02-08,1035.1,0,0,50.43,0,B
2024-02-09,1005.54,0,0,76.22,0,B
2024-02-10,930.7,0,0,35.44,0,B
2024-02-11,954.72,0,0,49.49,0,A
2024-02-12,1056.12,0,0,30.43,0,A
2024-02-13,251.83,0,0,23.46,1,C
2024-02-14,1052.55,0,0,24.83,0,B
2024-02-15,1103.48,20,1,416.78,0,A
2024-02-16,990.41,15,1,711.57,0,A
2024-02-17,926.94,0,0,28.6,0,C
2024-02-18,1001.7,0,0,37.3,0,A
2024-02-19,1024.34,0,0,31.7,0,A
2024-02-20,1107.4,0,0,21.61,0,C
2024-02-21,1161.78,0,0,53.21,0,B
2024-02-22,1130.13,0,0,62.0,0,B
2024-02-23,1006.32,0,0,58.87,0,C
2024-02-24,1020.77,0,0,43.28,0,A
2024-02-25,987.84,0,0,53.3,0,B
2024-02-26,1013.37,0,0,25.65,0,C
2024-02-27,1087.34,0,0,29.26,0,B
2024-02-28,1071.17,0,0,75.91,0,A
2024-02-29,1052.53,0,0,65.69,0,C
2024-03-01,1006.23,0,0,75.36,0,C
2024-03-02,1010.79,0,0,75.0,0,A
2024-03-03,1063.5,0,0,58.96,0,A
2024-03-04,1004.1,0,0,75.69,0,C
2024-03-05,1137.42,0,0,45.0,0,A
2024-03-06,1095.57,0,0,20.22,0,C
2024-03-07,1114.32,0,0,23.75,0,A
2024-03-08,255.51,0,0,26.57,1,C
2024-03-09,911.88,0,0,25.72,0,C
2024-03-10,1039.61,0,0,41.1,0,B
2024-03-11,1042.99,0,0,62.08,0,A
2024-03-12,1109.73,0,0,67.44,0,B
2024-03-13,1104.19,0,0,55.41,0,C
2024-03-14,1077.21,0,0,28.79,0,C
2024-03-15,1151.88,20,1,344.15,0,A
2024-03-16,1021.49,5,1,364.34,0,B
2024-03-17,1021.71,0,0,20.78,0,C
2024-03-18,271.82,0,0,36.84,1,A
2024-03-19,1189.16,0,0,39.84,0,C
2024-03-20,1138.71,0,0,36.45,0,A
2024-03-21,1052.46,0,0,68.71,0,C
2024-03-22,1085.38,0,0,65.6,0,A
2024-03-23,986.66,0,0,61.73,0,A
2024-03-24,1058.95,0,0,28.34,0,B
2024-03-25,1094.89,0,0,68.47,0,B
2024-03-26,1137.07,0,0,60.63,0,A
2024-03-27,1170.83,0,0,31.69,0,B
2024-03-28,1193.53,0,0,58.89,0,A
2024-03-29,1129.14,0,0,49.01,0,C
2024-03-30,1005.88,0,0,46.36,0,A
2024-03-31,1024.4,0,0,26.73,0,B
2024-04-01,1125.2,0,0,51.1,0,C
2024-04-02,1109.97,0,0,26.0,0,A
2024-04-03,1173.07,0,0,29.86,0,A
2024-04-04,1115.62,0,0,27.95,0,C
2024-04-05,1062.5,0,0,77.25,0,A
2024-04-06,971.53,0,0,37.09,0,C
2024-04-07,957.11,0,0,41.31,0,B
2024-04-08,1000.36,0,0,39.32,0,C
2024-04-09,275.74,0,0,73.9,1,A
2024-04-10,1143.82,0,0,53.78,0,A
2024-04-11,1108.26,0,0,75.15,0,C
2024-04-12,1126.2,0,0,38.0,0,C
2024-04-13,1049.07,0,0,26.89,0,C
2024-04-14,983.05,0,0,53.37,0,A
2024-04-15,1168.71,10,1,593.74,0,B
2024-04-16,1161.01,5,1,220.51,0,B
2024-04-17,1151.25,0,0,72.77,0,B
2024-04-18,1125.33,0,0,48.35,0,A
2024-04-19,1074.51,0,0,78.28,0,B
2024-04-20,991.36,0,0,53.18,0,B
2024-04-21,1061.77,0,0,36.26,0,A
2024-04-22,1036.4,0,0,49.34,0,B
2024-04-23,1143.14,0,0,22.24,0,A
2024-04-24,1264.13,0,0,68.24,0,A
2024-04-25,1123.32,0,0,26.09,0,A
2024-04-26,1102.45,0,0,38.52,0,B
2024-04-27,1005.76,0,0,53.92,0,A
2024-04-28,1038.67,0,0,22.58,0,B
2024-04-29,1075.25,0,0,24.76,0,B
2024-04-30,1134.49,0,0,61.77,0,C
2024-05-01,1123.07,0,0,24.31,0,A
2024-05-02,1128.73,0,0,48.62,0,B
2024-05-03,1006.92,0,0,40.32,0,A
2024-05-04,1023.26,0,0,33.68,0,B
2024-05-05,1054.62,0,0,31.33,0,B
2024-05-06,1089.35,0,0,65.8,0,C
2024-05-07,1125.54,0,0,77.09,0,B
2024-05-08,1167.31,0,0,28.41,0,C
2024-05-09,1095.11,0,0,77.58,0,A
2024-05-10,1073.45,0,0,55.69,0,A
2024-05-11,918.7,0,0,58.5,0,A
2024-05-12,993.23,0,0,62.6,0,B
2024-05-13,988.56,0,0,62.25,0,A
2024-05-14,1070.27,0,0,69.19,0,A
2024-05-15,1253.03,5,1,670.83,0,A
2024-05-16,1239.46,15,1,780.56,0,C
2024-05-17,999.35,0,0,39.43,0,C
2024-05-18,922.98,0,0,26.32,0,A
2024-05-19,880.48,0,0,59.88,0,C
2024-05-20,1036.81,0,0,22.02,0,A
2024-05-21,1217.45,0,0,36.54,0,B
2024-05-22,1151.72,0,0,25.65,0,A
2024-05-23,1067.71,0,0,31.44,0,B
2024-05-24,1039.36,0,0,58.32,0,C
2024-05-25,913.72,0,0,57.71,0,C
2024-05-26,977.79,0,0,45.26,0,B
2024-05-27,1053.89,0,0,25.41,0,B
2024-05-28,1108.7,0,0,46.0,0,C
2024-05-29,1157.62,0,0,41.16,0,A
2024-05-30,1096.21,0,0,63.23,0,B
2024-05-31,1037.91,0,0,54.74,0,A
2024-06-01,938.68,0,0,49.49,0,C
2024-06-02,1016.12,0,0,49.22,0,B
2024-06-03,1107.89,0,0,77.98,0,B
2024-06-04,1064.37,0,0,65.38,0,B
2024-06-05,1080.85,0,0,49.82,0,A
2024-06-06,1124.95,0,0,48.75,0,A
2024-06-07,991.56,0,0,21.59,0,C
2024-06-08,1013.3,0,0,76.55,0,A
2024-06-09,951.47,0,0,39.15,0,A
2024-06-10,1088.17,0,0,35.36,0,A
2024-06-11,1098.43,0,0,79.96,0,C
2024-06-12,1116.51,0,0,63.12,0,A
2024-06-13,1121.87,0,0,22.84,0,C
2024-06-14,243.46,0,0,23.71,1,B
2024-06-15,1000.58,20,1,473.21,0,C
2024-06-16,1049.3,20,1,723.52,0,B
2024-06-17,1036.23,0,0,24.29,0,A
2024-06-18,1018.99,0,0,76.0,0,B
2024-06-19,1120.91,0,0,76.21,0,B
2024-06-20,1027.74,0,0,52.76,0,A
2024-06-21,1024.32,0,0,57.0,0,B
2024-06-22,836.7,0,0,37.51,0,A
2024-06-23,914.08,0,0,23.84,0,C
2024-06-24,940.96,0,0,64.25,0,C
2024-06-25,1034.31,0,0,26.11,0,A
2024-06-26,1090.96,0,0,25.13,0,B
2024-06-27,1029.58,0,0,38.67,0,B
2024-06-28,954.58,0,0,20.75,0,A
2024-06-29,228.66,0,0,46.04,1,B
2024-06-30,235.92,0,0,62.46,1,A
2024-07-01,956.32,0,0,68.08,0,A
2024-07-02,1085.18,0,0,56.26,0,C
2024-07-03,1097.87,0,0,70.81,0,B
2024-07-04,1040.45,0,0,44.39,0,C
2024-07-05,977.5,0,0,70.93,0,B
2024-07-06,921.07,0,0,50.39,0,C
2024-07-07,1003.51,0,0,33.38,0,C
2024-07-08,981.63,0,0,76.65,0,B
2024-07-09,1031.67,0,0,36.5,0,B
2024-07-10,1026.81,0,0,21.57,0,B
2024-07-11,971.34,0,0,34.56,0,C
2024-07-12,892.12,0,0,42.0,0,B
2024-07-13,861.33,0,0,41.08,0,B
2024-07-14,908.35,0,0,51.48,0,A
2024-07-15,1073.31,20,1,236.38,0,C
2024-07-16,1094.78,10,1,421.33,0,B
2024-07-17,1016.11,0,0,51.25,0,A
2024-07-18,1037.28,0,0,40.41,0,B
2024-07-19,961.24,0,0,69.31,0,B
2024-07-20,878.38,0,0,29.46,0,A
2024-07-21,872.33,0,0,26.21,0,C
2024-07-22,982.53,0,0,50.18,0,C
2024-07-23,1029.58,0,0,60.31,0,C
2024-07-24,978.38,0,0,67.73,0,B
2024-07-25,988.12,0,0,55.38,0,A
2024-07-26,930.91,0,0,66.43,0,A
2024-07-27,838.48,0,0,43.56,0,C
2024-07-28,894.91,0,0,21.97,0,A
2024-07-29,890.42,0,0,26.97,0,C
2024-07-30,1062.89,0,0,22.32,0,C
2024-07-31,1074.21,0,0,39.74,0,A
2024-08-01,969.96,0,0,49.73,0,C
2024-08-02,923.32,0,0,41.38,0,A
2024-08-03,768.3,0,0,53.64,0,B
2024-08-04,832.25,0,0,48.84,0,B
2024-08-05,928.52,0,0,60.68,0,C
2024-08-06,958.54,0,0,60.02,0,B
2024-08-07,1043.06,0,0,39.08,0,C
2024-08-08,1049.86,0,0,40.77,0,B
2024-08-09,852.9,0,0,55.11,0,C
2024-08-10,821.94,0,0,55.79,0,C
2024-08-11,878.21,0,0,38.88,0,C
2024-08-12,994.6,0,0,39.82,0,B
2024-08-13,943.69,0,0,61.64,0,B
2024-08-14,1016.67,0,0,58.84,0,C
2024-08-15,1126.74,15,1,652.74,0,C
2024-08-16,923.78,20,1,705.47,0,C
2024-08-17,796.81,0,0,73.56,0,B
2024-08-18,842.9,0,0,22.18,0,C
2024-08-19,902.96,0,0,71.31,0,C
2024-08-20,1015.73,0,0,29.79,0,C
